group,subgroup,amount,period,month
Всего,Всего,6551585,0,Январь
"Сельское, лесное и рыбное хозяйство",Всего,4454302,0,Январь
"Сельское, лесное и рыбное хозяйство","растениеводство и животноводство, охота и предоставление услуг в этих областях",4354617,0,Январь
"Сельское, лесное и рыбное хозяйство",растениеводство,4026776,0,Январь
"Сельское, лесное и рыбное хозяйство",животноводство,4491393,0,Январь
"Сельское, лесное и рыбное хозяйство",лесоводство и лесозаготовки,5279249,0,Январь
"Сельское, лесное и рыбное хозяйство",рыболовство и рыбоводство,4382283,0,Январь
Промышленность,Всего,6785301,0,Январь
Промышленность,горнодобывающая промышленность,8933009,0,Январь
Промышленность,обрабатывающая промышленность,6702575,0,Январь
Промышленность,"производство продуктов питания, напитков и табачных изделий",6710363,0,Январь
Промышленность,"производство текстильных изделий, одежды, изделий из кожи и меха",4644233,0,Январь
Промышленность,производство изделий из дерева и бумаги; полиграфическая деятельность и тиражирование записанных носителей информации,5408860,0,Январь
Промышленность,"производство деревянных и пробковых изделий, кроме мебели; производство изделий из соломки и материалов для плетения",5053275,0,Январь
Промышленность,"производство целлюлозы, бумаги и изделий из бумаги",5734304,0,Январь
Промышленность,полиграфическая деятельность и тиражирование записанных носителей информации,6972831,0,Январь
Промышленность,производство кокса и продуктов нефтепереработки,11481917,0,Январь
Промышленность,производство химических продуктов,11924058,0,Январь
Промышленность,производство основных фармацевтических продуктов и фармацевтических препаратов,8287885,0,Январь
Промышленность,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов",6184538,0,Январь
Промышленность,"металлургическое производство. Производство готовых металлических изделий, кроме машин и оборудования",6700542,0,Январь
Промышленность,"производство вычислительной, электронной и оптической аппаратуры",7061434,0,Январь
Промышленность,производство электрооборудования,6057843,0,Январь
Промышленность,"производство машин и оборудования, не включенных в другие группировки",6163187,0,Январь
Промышленность,производство транспортных средств и оборудования,6166499,0,Январь
Промышленность,"производство автомобилей, прицепов и полуприцепов",5908096,0,Январь
Промышленность,производство прочих транспортных средств и оборудования,8013941,0,Январь
Промышленность,"производство прочих готовых изделий; ремонт, монтаж машин и оборудования",6720114,0,Январь
Промышленность,производство мебели,5500516,0,Январь
Промышленность,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",7409288,0,Январь
Промышленность,"водоснабжение; сбор, обработка и удаление отходов, деятельность по ликвидации загрязнений",5940550,0,Январь
Строительство,Строительство,6701003,0,Январь
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Всего,6446197,0,Январь
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"оптовая и розничная торговля автомобилями, мотоциклами и их ремонт",8472177,0,Январь
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"оптовая торговля, за исключением торговли автомобилями и мотоциклами",8882616,0,Январь
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"розничная торговля, за исключением торговли автомобилями и мотоциклами",5907956,0,Январь
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",Всего,7537638,0,Январь
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность сухопутного и трубопроводного транспорта,7842312,0,Январь
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность водного транспорта,4493906,0,Январь
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",деятельность воздушного транспорта,17464751,0,Январь
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",складирование и вспомогательная транспортная деятельность,6689171,0,Январь
"Транспортная деятельность, складирование, почтовая и курьерская деятельность",почтовая и курьерская деятельность,6157801,0,Январь
Услуги по временному проживанию и питания,Всего,5186217,0,Январь
Услуги по временному проживанию и питания,услуги по временному проживанию,5414036,0,Январь
Услуги по временному проживанию и питания,услуги по общественному питанию,5114594,0,Январь
Информация и связь,Всего,20617257,0,Январь
Информация и связь,"издательская деятельность, деятельность в сфере аудио- и видеозаписи, воспроизведения и вещания",8124574,0,Январь
Информация и связь,деятельность в области телекоммуникаций,10374880,0,Январь
Информация и связь,информационные технологии и деятельность в области информационного обслуживания,35457604,0,Январь
Финансовая и страховая деятельность,Всего,11811274,0,Январь
Финансовая и страховая деятельность,"финансовые услуги, кроме страхования и дополнительного пенсионного обеспечения",12275938,0,Январь
Финансовая и страховая деятельность,"страхование, перестрахование и дополнительное пенсионное обеспечение, кроме обязательного социального страхования",8636957,0,Январь
Финансовая и страховая деятельность,вспомогательная деятельность в сфере финансовых услуг и страхования,18395665,0,Январь
Операции с недвижимым имуществом,Операции с недвижимым имуществом,5343063,0,Январь
"Профессиональная, научная и техническая деятельность",Всего,8865595,0,Январь
"Профессиональная, научная и техническая деятельность","деятельность в области права, бухгалтерского учета, управления, архитектуры, инженерных изысканий, технических испытаний и анализа",9771754,0,Январь
"Профессиональная, научная и техническая деятельность",научные исследования и разработки,8726687,0,Январь
"Профессиональная, научная и техническая деятельность","другая профессиональная, научная и техническая деятельность",5586624,0,Январь
Деятельность в сфере административных и вспомогательных услуг,Всего,5177480,0,Январь
Деятельность в сфере административных и вспомогательных услуг,туристическая деятельность; услуги по бронированию и сопутствующая деятельность,5668690,0,Январь
Образование,Образование,4858351,0,Январь
Здравоохранение и социальные услуги,Всего,5271386,0,Январь
Здравоохранение и социальные услуги,здравоохранение,5442087,0,Январь
Здравоохранение и социальные услуги,деятельность по уходу в специализированных учреждениях и предоставление социальных услуг,3999512,0,Январь
"Творчество, спорт, развлечения и отдых",Всего,5248205,0,Январь
"Творчество, спорт, развлечения и отдых",творческая деятельность и развлечения,4374205,0,Январь
"Творчество, спорт, развлечения и отдых","деятельность библиотек, архивов, музеев и прочая деятельность в области культуры",3890388,0,Январь
"Творчество, спорт, развлечения и отдых","деятельность в области физической культуры и спорта, организации отдыха и развлечений",6375551,0,Январь
Предоставление прочих видов услуг,Предоставление прочих видов услуг,5063404,0,Январь
Справочно: рабочие и служащие,Справочно: рабочие и служащие,6587462,0,Январь
Всего,Всего,6615737,1,Февраль
"Сельское, лесное и рыбное хозяйство",Всего,4429691,1,Февраль
"Сельское, лесное и рыбное хозяйство","растениеводство и животноводство, охота и предоставление услуг в этих областях",4289384,1,Февраль
"Сельское, лесное и рыбное хозяйство",растениеводство,3965080,1,Февраль
"Сельское, лесное и рыбное хозяйство",животноводство,4416054,1,Февраль
"Сельское, лесное и рыбное хозяйство",лесоводство и лесозаготовки,5573150,1,Февраль
"Сельское, лесное и рыбное хозяйство",рыболовство и рыбоводство,4515984,1,Февраль
Промышленность,Всего,7039994,1,Февраль
Промышленность,горнодобывающая промышленность,9877665,1,Февраль
Промышленность,обрабатывающая промышленность,6964986,1,Февраль
Промышленность,"производство продуктов питания, напитков и табачных изделий",6834511,1,Февраль
Промышленность,"производство текстильных изделий, одежды, изделий из кожи и меха",5069595,1,Февраль
Промышленность,производство изделий из дерева и бумаги; полиграфическая деятельность и тиражирование записанных носителей информации,5750015,1,Февраль
Промышленность,"производство деревянных и пробковых изделий, кроме мебели; производство изделий из соломки и материалов для плетения",5437735,1,Февраль
Промышленность,"производство целлюлозы, бумаги и изделий из бумаги",5927656,1,Февраль
Промышленность,полиграфическая деятельность и тиражирование записанных носителей информации,7374979,1,Февраль
Промышленность,производство кокса и продуктов нефтепереработки,10332645,1,Февраль
Промышленность,производство химических продуктов,11405747,1,Февраль
